               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027199,           0.0070082,                   0,             0.99895,             0.99968,             0.99493,             0.76346,            0.015402,            0.003664,                   0,            0.070002,           0.0033331,           0.0033331
                   1,            0.020879,           0.0049214,                   0,             0.99937,             0.99986,             0.99495,             0.77602,            0.015143,           0.0036049,                   0,            0.039342,           0.0060065,           0.0060065
                   2,            0.020016,           0.0048513,                   0,             0.99946,              0.9999,             0.99496,             0.77744,            0.015265,           0.0036115,                   0,           0.0080222,           0.0080198,           0.0080198
                   3,            0.019429,           0.0048013,                   0,             0.99954,             0.99988,             0.99496,             0.77162,            0.015736,           0.0036745,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.019172,            0.004761,                   0,             0.99961,              0.9999,             0.99497,              0.7721,            0.015878,           0.0036822,                   0,             0.00703,             0.00703,             0.00703
