               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030597,           0.0080095,            0.003009,             0.99708,             0.99625,             0.99485,             0.79592,             0.01606,           0.0037676,          0.00022055,            0.070004,           0.0033329,           0.0033329
                   1,            0.022407,           0.0051072,          0.00026348,             0.99891,             0.99883,             0.99494,             0.81609,            0.015479,           0.0036408,          0.00014927,            0.039179,           0.0058413,           0.0058413
                   2,            0.020489,           0.0049482,          0.00020462,             0.99877,             0.99908,             0.99495,             0.82217,             0.01535,            0.003597,          7.9271e-05,           0.0075294,           0.0075246,           0.0075246
                   3,            0.019694,           0.0048661,          0.00014893,             0.99903,             0.99915,             0.99493,             0.82574,            0.015323,            0.003582,          5.7388e-05,           0.0062875,           0.0062875,           0.0062875
                   4,            0.019463,           0.0048177,          0.00012957,             0.99898,             0.99935,             0.99493,             0.82688,            0.015324,           0.0035745,          5.0689e-05,           0.0062875,           0.0062875,           0.0062875
                   5,            0.019006,            0.004748,          9.1971e-05,             0.99909,             0.99956,             0.99495,             0.82835,             0.01529,           0.0035628,          4.3223e-05,             0.00505,             0.00505,             0.00505
                   6,            0.018671,           0.0046862,          7.4297e-05,             0.99932,             0.99964,             0.99495,             0.83004,            0.015236,             0.00355,          3.6643e-05,           0.0038125,           0.0038125,           0.0038125
                   7,            0.018326,           0.0046384,           5.936e-05,             0.99943,             0.99971,             0.99496,              0.8314,            0.015173,           0.0035366,          3.1274e-05,            0.002575,            0.002575,            0.002575
